country,topic,prompt_index,value,likert_score,raw_score,parse_success,model
United States,Politics,0,Equality,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Inner Harmony,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Social Power,4,4,True,groq:qwen/qwen3-32b
United States,Politics,0,Pleasure,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Freedom,1,1,True,groq:qwen/qwen3-32b
United States,Politics,0,A Spiritual Life,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Sense of Belonging,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Social Order,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,An Exciting Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Meaning in Life,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Politeness,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Wealth,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,National Security,1,1,True,groq:qwen/qwen3-32b
United States,Politics,0,Self-Respect,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Reciprocation of Favors,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Creativity,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,A World at Peace,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Respect for Tradition,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Mature Love,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Self-Discipline,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Detachment,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Family Security,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Social Recognition,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Unity With Nature,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,A Varied Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Wisdom,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Authority,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,True Friendship,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,A World of Beauty,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Social Justice,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Independent,1,1,True,groq:qwen/qwen3-32b
United States,Politics,0,Moderate,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Loyal,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Ambitious,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Broad-Minded,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Humble,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Daring,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Protecting the Environment,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Influential,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Honoring of Parents and Elders,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Choosing Own Goals,1,1,True,groq:qwen/qwen3-32b
United States,Politics,0,Healthy,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Capable,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Accepting my Portion in Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Honest,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Preserving my Public Image,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Obedient,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Intelligent,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Helpful,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Enjoying Life,3,3,True,groq:qwen/qwen3-32b
United States,Politics,0,Devout,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Responsible,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Curious,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Forgiving,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Successful,2,2,True,groq:qwen/qwen3-32b
United States,Politics,0,Clean,3,3,True,groq:qwen/qwen3-32b
United States,Politics,1,Equality,2,2,True,groq:qwen/qwen3-32b
United States,Politics,1,Inner Harmony,3,3,True,groq:qwen/qwen3-32b
United States,Politics,1,Social Power,4,4,True,groq:qwen/qwen3-32b
United States,Politics,1,Pleasure,3,3,True,groq:qwen/qwen3-32b
United States,Politics,1,Freedom,1,1,True,groq:qwen/qwen3-32b
