model,country,topic,value,mean_likert,std_likert,task1_n,endorsement_strength,endorsement_rate,prompts,positive_choices,negative_choices,parse_failures,positive_choice_rate,negative_choice_rate,parse_failure_rate,gap_signed,gap_abs
groq:qwen/qwen3-32b,United States,Politics,A Spiritual Life,2.25,0.46291004988627577,8,2.75,0.5833333333333334,8,8,0,0,1.0,0.0,0.0,0.41666666666666663,0.41666666666666663
groq:qwen/qwen3-32b,United States,Politics,A Varied Life,2.75,0.4629100498862757,8,2.25,0.4166666666666667,8,8,0,0,1.0,0.0,0.0,0.5833333333333333,0.5833333333333333
groq:qwen/qwen3-32b,United States,Politics,A World at Peace,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,A World of Beauty,2.875,0.3535533905932738,8,2.125,0.375,8,8,0,0,1.0,0.0,0.0,0.625,0.625
groq:qwen/qwen3-32b,United States,Politics,Accepting my Portion in Life,3.125,0.3535533905932738,8,1.875,0.2916666666666667,8,8,0,0,1.0,0.0,0.0,0.7083333333333333,0.7083333333333333
groq:qwen/qwen3-32b,United States,Politics,Ambitious,1.625,0.5175491695067657,8,3.375,0.7916666666666666,8,8,0,0,1.0,0.0,0.0,0.20833333333333337,0.20833333333333337
groq:qwen/qwen3-32b,United States,Politics,An Exciting Life,3.0,0.0,8,2.0,0.3333333333333333,8,8,0,0,1.0,0.0,0.0,0.6666666666666667,0.6666666666666667
groq:qwen/qwen3-32b,United States,Politics,Authority,2.125,0.3535533905932738,8,2.875,0.625,8,0,8,0,0.0,1.0,0.0,-0.625,0.625
groq:qwen/qwen3-32b,United States,Politics,Broad-Minded,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Capable,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Choosing Own Goals,1.375,0.5175491695067657,8,3.625,0.875,8,8,0,0,1.0,0.0,0.0,0.125,0.125
groq:qwen/qwen3-32b,United States,Politics,Clean,2.5,0.5345224838248488,8,2.5,0.5,8,8,0,0,1.0,0.0,0.0,0.5,0.5
groq:qwen/qwen3-32b,United States,Politics,Creativity,2.0,0.0,8,3.0,0.6666666666666666,8,8,0,0,1.0,0.0,0.0,0.33333333333333337,0.33333333333333337
groq:qwen/qwen3-32b,United States,Politics,Curious,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Daring,2.875,0.35355339059327384,8,2.125,0.375,8,8,0,0,1.0,0.0,0.0,0.625,0.625
groq:qwen/qwen3-32b,United States,Politics,Detachment,3.125,0.3535533905932738,8,1.875,0.2916666666666667,8,6,2,0,0.75,0.25,0.0,0.4583333333333333,0.4583333333333333
groq:qwen/qwen3-32b,United States,Politics,Devout,2.5,0.5345224838248488,8,2.5,0.5,8,4,4,0,0.5,0.5,0.0,0.0,0.0
groq:qwen/qwen3-32b,United States,Politics,Enjoying Life,2.625,0.5175491695067657,8,2.375,0.4583333333333333,8,8,0,0,1.0,0.0,0.0,0.5416666666666667,0.5416666666666667
groq:qwen/qwen3-32b,United States,Politics,Family Security,1.625,0.5175491695067657,8,3.375,0.7916666666666666,8,8,0,0,1.0,0.0,0.0,0.20833333333333337,0.20833333333333337
groq:qwen/qwen3-32b,United States,Politics,Forgiving,2.125,0.6408699444616557,8,2.875,0.625,8,8,0,0,1.0,0.0,0.0,0.375,0.375
groq:qwen/qwen3-32b,United States,Politics,Freedom,1.0,0.0,8,4.0,1.0,8,8,0,0,1.0,0.0,0.0,0.0,0.0
groq:qwen/qwen3-32b,United States,Politics,Healthy,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
