model,country,topic,family,n_values,mean_likert,endorsement_rate,positive_choice_rate,gap_signed,gap_abs
groq:qwen/qwen3-32b,United States,Politics,Stimulation,3,2.875,0.375,1.0,0.625,0.625
groq:qwen/qwen3-32b,United States,Politics,Hedonism,2,2.75,0.41666666666666663,1.0,0.5833333333333334,0.5833333333333334
groq:qwen/qwen3-32b,United States,Politics,Tradition,6,2.6458333333333335,0.4513888888888889,0.875,0.4236111111111111,0.4236111111111111
groq:qwen/qwen3-32b,United States,Politics,Conformity,4,2.25,0.5833333333333334,1.0,0.4166666666666666,0.4166666666666666
groq:qwen/qwen3-32b,United States,Politics,Power,5,2.65,0.45,0.525,0.07500000000000001,0.4083333333333333
groq:qwen/qwen3-32b,United States,Politics,Universalism,7,2.2142857142857144,0.5952380952380952,1.0,0.4047619047619047,0.4047619047619047
groq:qwen/qwen3-32b,United States,Politics,Benevolence,9,2.0416666666666665,0.6527777777777778,0.9444444444444444,0.29166666666666663,0.3379629629629629
groq:qwen/qwen3-32b,United States,Politics,Security,7,1.9642857142857142,0.6785714285714286,0.8928571428571429,0.21428571428571425,0.2738095238095238
groq:qwen/qwen3-32b,United States,Politics,Achievement,6,1.7708333333333333,0.7430555555555555,1.0,0.25694444444444436,0.25694444444444436
groq:qwen/qwen3-32b,United States,Politics,Self-direction,5,1.5,0.8333333333333334,1.0,0.16666666666666663,0.16666666666666663
